"Process (nm)","Transistor Density (tr./mm²)"
"10,000","188"
"10,000","250"
"6,000","340"
"10,000","250"
"6,000","256"
"6,000","300"
"8,000","730"
"8,000","216"
"5,000","185"
"4,000","470"
"3,000","325"
"5,000","430"
"3,000","880"
"3,000","880"
"3,500","1,550"
"3,000","1,920"
"2,000","770"
"3,000","920"
"1,500","2,730"
"3,000","2,400"
"2,000","2,200"
"1,500","2,640"
"3,000","500"
"2,000","890"
"800","2,680"
"1,500","2,950"
"800","4,200"
"1,000","6,822"
"1,500","3,600"
"1,000","5,375"
"650","7,900"
"1,000","6,340"
"800","6,000"
"750","7,190"
"500","10,500"
"800","10,500"
"720","18,923"
"700","8,451"
"600","11,500"
"600","23,000"
"500","18,900"
"500","26,500"
"500","31,140"
"350","50,000"
"500","18,000"
"500","11,300"
"350","46,260"
"500","17,000"
"350","39,000"
"350","54,000"
"250","66,000"
"350","48,400"
"280","56,700"
"250","55,400"
"350","23,100"
"250","74,000"
"180","152,000"
"250","181,000"
"250","120,000"
"180","490,000"
"180","263,000"
"180","194,000"
"130","659,000"
"130","556,000"
"130","379,000"
"180","523,000"
"180","383,000"
"130","538,000"
"130","548,700"
"130","928,000"
"130","1,096,000"
"90","1,018,000"
"90","1,655,000"
"90","1,360,000"
"130","1,370,000"
"90","1,182,000"
"90","1,107,000"
"90","1,131,000"
"65","2,044,000"
"65","2,235,000"
"65","2,035,000"
"90","2,852,000"
"65","1,636,000"
"45","839,000"
"45","3,841,000"
"65","2,314,000"
"65","1,523,000"
"90","1,283,000"
"45","2,771,000"
"45","2,779,000"
"45","2,938,000"
"45","1,958,000"
"65","1,348,000"
"45","3,777,000"
"45","2,613,000"
"45","1,481,000"
"45","1,864,000"
"45","2,023,000"
"40","2,653,000"
"32","4,875,000"
"45","2,116,000"
"45","2,734,000"
"65","2,861,000"
"45","3,363,000"
"40","3,864,000"
"32","5,370,000"
"32","5,230,000"
"32","5,078,000"
"32","6,750,000"
"28","4,983,000"
"32","3,810,000"
"32","5,297,000"
"22","8,750,000"
"32","3,704,000"
"32","4,606,000"
"32","5,699,000"
"22","6,944,000"
"28","9,804,000"
"22","7,266,000"
"22","6,462,000"
"28","13,770,000"
"22","7,910,000"
"20","22,470,000"
"22","7,324,000"
"20","23,440,000"
"22","7,967,000"
"22","8,411,000"
"14","14,340,000"
"14","14,290,000"
"16","20,800,000"
"22","5,885,000"
"22","10,472,000"
"14","13,010,000"
"16","26,400,000"
"16","36,360,000"
"14","15,790,000"
"14","11,710,000"
"10","41,490,000"
"10","48,190,000"
"14","31,800,000"
"14","25,000,000"
"14","22,530,000"
"14","8,764,000"
"14","13,940,000"
"10","56,900,000"
"16","19,440,000"
"14","10,570,000"
"14","11,500,000"
"28","8,330,000"
"20","6,850,000"
"10","44,600,000"
"10","45,200,000"
"14","25,000,000"
"10","56,400,000"
"10","56,400,000"
"7","82,900,000"
"7","93,100,000"
"7","75,900,000"
"7","82,000,000"
"12","25,700,000"
"7","91,800,000"
"7","60,664,000"
"7","60,664,000"
"7","51,350,000"
"12","16,720,000"
"12","20,050,000"
"7","62,820,000"
"12","30,100,000"
"7","30,100,000"
"7","89,000,000"
"7","86,300,000"
"14","13,220,000"
"14","17,530,000"
"12","36,230,000"
"7","36,230,000"
"7","90,900,000"
"12","39,226,000"
"7","39,226,000"
"7","123,300,000"
"5","134,100,000"
"5","134,500,000"
"7","107,690,000"
"5","134,200,000"
"7","60,000,000"
"7","51,230,000"
"7","59,440,000"
"5","139,300,000"
"3","183,044,315"
"5","137,600,000"
"5","135,600,000"
"7","29,900,000"
"5","135,600,000"
"7","42,450,000"
"4","59,701,492"
"6","71,240,000"
"5","71,240,000"
